City,Mode,MonthBeginning,DayType,RouteID,RouteName,AverageDailyRidership,Source
Philadelphia,Trolley,2022-07-01,All,ALL,ALL,34354,Revenue_Estimate
Philadelphia,Bus,2022-08-01,All,ALL,ALL,272216,APC
Philadelphia,CCT,2022-08-01,All,ALL,ALL,2742,Revenue
Philadelphia,Heavy Rail,2022-08-01,All,ALL,ALL,128345,Revenue
Philadelphia,Regional Rail,2022-08-01,All,ALL,ALL,53394,Revenue
Philadelphia,Trackless Trolley,2022-08-01,All,ALL,ALL,8728,Revenue_Estimate
Philadelphia,Trolley,2022-08-01,All,ALL,ALL,44765,Revenue_Estimate
Philadelphia,Bus,2022-09-01,All,ALL,ALL,341880,APC
Philadelphia,CCT,2022-09-01,All,ALL,ALL,2864,Revenue
Philadelphia,Heavy Rail,2022-09-01,All,ALL,ALL,147378,Revenue
Philadelphia,Regional Rail,2022-09-01,All,ALL,ALL,62122,Revenue
Philadelphia,Trackless Trolley,2022-09-01,All,ALL,ALL,10641,Revenue_Estimate
Philadelphia,Trolley,2022-09-01,All,ALL,ALL,39475,Revenue_Estimate
Philadelphia,Bus,2022-10-01,All,ALL,ALL,340544,APC
Philadelphia,CCT,2022-10-01,All,ALL,ALL,2857,Revenue
Philadelphia,Heavy Rail,2022-10-01,All,ALL,ALL,156381,Revenue
Philadelphia,Regional Rail,2022-10-01,All,ALL,ALL,63954,Revenue
Philadelphia,Trackless Trolley,2022-10-01,All,ALL,ALL,11084,Revenue_Estimate
Philadelphia,Trolley,2022-10-01,All,ALL,ALL,39046,Revenue_Estimate
Philadelphia,Bus,2022-11-01,All,ALL,ALL,338481,APC
Philadelphia,CCT,2022-11-01,All,ALL,ALL,2851,Revenue
Philadelphia,Heavy Rail,2022-11-01,All,ALL,ALL,145873,Revenue
Philadelphia,Regional Rail,2022-11-01,All,ALL,ALL,64215,Revenue
Philadelphia,Trackless Trolley,2022-11-01,All,ALL,ALL,10195,Revenue_Estimate
Philadelphia,Trolley,2022-11-01,All,ALL,ALL,40666,Revenue_Estimate
Philadelphia,Bus,2022-12-01,All,ALL,ALL,299614,APC
Philadelphia,CCT,2022-12-01,All,ALL,ALL,2869,Revenue
Philadelphia,Heavy Rail,2022-12-01,All,ALL,ALL,136539,Revenue
Philadelphia,Regional Rail,2022-12-01,All,ALL,ALL,60226,Revenue
Philadelphia,Trackless Trolley,2022-12-01,All,ALL,ALL,9677,Revenue_Estimate
Philadelphia,Trolley,2022-12-01,All,ALL,ALL,37275,Revenue_Estimate
