City,Mode,Date,RouteID,DayType,Ridership
Chicago,Bus,2001-01-02,67,Weekday,10394
Chicago,Bus,2001-01-03,11,Weekday,3215
Chicago,Bus,2001-01-02,17,Weekday,376
Chicago,Bus,2001-01-04,30,Weekday,3391
Chicago,Bus,2001-01-03,27,Weekday,5144
Chicago,Bus,2001-01-04,136,Weekday,2245
Chicago,Bus,2001-01-02,93,Weekday,1387
Chicago,Bus,2001-01-02,66,Weekday,17345
Chicago,Bus,2001-01-01,29,Sunday/Holiday,9303
Chicago,Bus,2001-01-02,97,Weekday,2929
Chicago,Bus,2001-01-03,30,Weekday,2971
Chicago,Bus,2001-01-05,17,Weekday,467
Chicago,Bus,2001-01-02,56A,Weekday,656
Chicago,Bus,2001-01-01,67,Sunday/Holiday,6189
Chicago,Bus,2001-01-03,85A,Weekday,940
Chicago,Bus,2001-01-04,126,Weekday,8278
Chicago,Bus,2001-01-04,100,Weekday,744
Chicago,Bus,2001-01-04,76,Weekday,12176
Chicago,Bus,2001-01-02,52A,Weekday,5056
Chicago,Bus,2001-01-01,72,Sunday/Holiday,5128
Chicago,Bus,2001-01-04,112,Weekday,2777
Chicago,Bus,2001-01-04,50,Weekday,7496
Chicago,Bus,2001-01-01,155,Sunday/Holiday,2540
Chicago,Bus,2001-01-04,74,Weekday,12428
Chicago,Bus,2001-01-01,50,Sunday/Holiday,1832
Chicago,Bus,2001-01-05,6,Weekday,16543
Chicago,Bus,2001-01-01,49B,Sunday/Holiday,1571
Chicago,Bus,2001-01-01,4,Sunday/Holiday,9288
Chicago,Bus,2001-01-03,21,Weekday,7337
Chicago,Bus,2001-01-03,25,Weekday,77
Chicago,Bus,2001-01-04,8A,Weekday,2746
Chicago,Bus,2001-01-03,57,Weekday,2424
Chicago,Bus,2001-01-03,169,Weekday,521
Chicago,Bus,2001-01-02,44,Weekday,4912
Chicago,Bus,2001-01-02,55N,Weekday,857
Chicago,Bus,2001-01-05,24,Weekday,3312
