vid,tmstmp,lat,lon,hdg,pid,rt,des,pdist,dly,tatripid,origtatripno,tablockid,zone,mode,psgld,stst,stsd,snapshot_ts,City
1108,20260203 04:33,41.89657440185547,-87.63686981201172,94,6662,66,Navy Pier,40073,False,3,273988919,66 -805,,1,,14310,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
1555,20260203 04:34,41.76447677612305,-87.69640350341797,268,11676,67,Ford City,10291,False,88358061,273989383,67 -601,,1,,15930,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
8772,20260203 04:34,41.902156829833984,-87.76444244384766,269,1499,70,Austin,10415,False,88364489,273989739,70 -801,,1,,16110,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
8407,20260203 04:34,41.768253326416016,-87.62667083740234,186,7027,71,73rd/Exchange,302,False,22223699,273993094,71 -102,,1,,16440,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
8325,20260203 04:34,41.76485824584961,-87.56649017333984,359,7031,71,69th Red Line,1497,False,22223698,273993192,71 -101,,1,,16380,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
8658,20260203 04:34,41.91122817993164,-87.6338119506836,269,95,72,Harlem,741,False,1025260,273986155,72 -803,,1,,16260,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
1173,20260203 04:34,41.909428151448566,-87.76620534261068,269,95,72,Harlem,36674,False,1025259,273986154,72 -801,,1,,14460,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
8582,20260203 04:34,41.90916061401367,-87.78335283067491,88,10913,72,Clark,5681,False,1025204,273986165,72 -804,,1,,16260,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
8504,20260203 04:34,41.91047181754276,-87.6774462995858,86,10913,72,Clark,34491,False,1025203,273986164,72 -802,,1,,14940,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
8889,20260203 04:34,41.91743645301232,-87.70327876164363,89,2170,73,Clark/North,14817,False,1,273984056,73 -801,,1,,15600,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
8414,20260203 04:34,41.9168940850024,-87.74911743739865,268,2292,73,Laramie,6180,False,176,273984204,73 -802,,1,,16200,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
8163,20260203 04:34,41.92496871948242,-87.69180297851562,269,8420,74,Grand/Nordica,11474,False,168,273989838,74 -801,,1,,15780,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
8603,20260203 04:34,41.92412185668945,-87.75192521258099,89,8422,74,Halsted,13579,False,********,273989975,74 -803,,1,,15660,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
1904,20260203 04:34,41.92503287575462,-87.6725151755593,89,8422,74,Halsted,35182,False,********,273989974,74 -802,,1,,14400,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
8588,20260203 04:34,41.92388916015625,-87.77504562750096,273,8423,74,Grand/Nordica,13198,False,219,273989972,74 -804,,1,,15720,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
1364,20260203 04:34,41.93151092529297,-87.7483901977539,267,4615,76,Harlem,12319,False,4,273992892,76 -403,,1,,15900,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
1599,20260203 04:34,41.9315468392721,-87.74496999601038,90,4619,76,Nature Museum,16615,False,1,273992798,76 -401,,1,,15600,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
1593,20260203 04:34,41.93244934082031,-87.66610387166341,89,13247,76,Nature Museum,28181,False,8,273992788,76 -402,,1,,15000,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
8737,20260203 04:34,41.93996791839599,-87.65292358398438,271,7559,77,Cumberland,1035,False,1007450,273990507,77 -401,,1,,16320,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
1038,20260203 04:34,41.93816469426741,-87.79539248817845,271,7559,77,Cumberland,39999,False,1007416,273990305,77 -402,,1,,14520,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
1612,20260203 04:34,41.93740081787109,-87.8353271484375,42,10944,77,Diversey/Lake Shore,0,False,14,273990256,77 -405,,1,,16740,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
1051,20260203 04:34,41.93827438354492,-87.78903007507324,90,10944,77,Diversey/Lake Shore,12603,False,10,273990255,77 -403,,1,,15900,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
1023,20260203 04:34,41.93932342529297,-87.7075546619504,88,25894,77,Halsted,34721,False,4,273990254,77 -404,,1,,14700,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
1290,20260203 04:34,41.7509126663208,-87.68229484558105,90,1598,79,Western,38574,True,1,273990742,79 -701,,1,,13500,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
7946,20260203 04:34,41.751778738839285,-87.56148747035435,269,1599,79,Ford City,5128,False,3,273990745,79 -705,,1,,16200,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
1260,20260203 04:34,41.75114440917969,-87.62525939941406,270,1599,79,Ford City,22506,False,475,273990744,79 -703,,1,,15300,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
7947,20260203 04:34,41.74995915482684,-87.69271962235614,267,1599,79,Ford City,40938,False,2,273990743,79 -704,,1,,14400,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
1284,20260203 04:34,41.75152131785517,-87.58153766134511,92,1603,79,Lakefront,13225,False,345,273990756,79 -707,,1,,15811,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
1286,20260203 04:33,41.750842674105776,-87.63058052810968,88,1628,79,Lakefront,14272,False,346,273990820,79 -706,,1,,15630,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
1238,20260203 04:34,41.751822335379465,-87.54594884599958,148,1628,79,Lakefront,38558,False,344,273990760,79 -702,,1,,14400,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
8457,20260203 04:34,41.75086212158203,-87.63400268554688,269,28322,79,Ford City,1093,False,88420607,273991164,79 -708,,1,,16381,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
